,番号,タイトル,時期,布色,布地,ファイル名,チャンプルー,模様1,模様2,模様3,模様4,模様5,模様6,模様7,模様8
,1,松に梅,,白,麻地,bg1.png,FALSE,梅,松,,,,,,
☆,2,山に牡丹大模様,,黄,木綿,bg2.png,TRUE,山,桜,雲,網,波,牡丹,,
☆,3,山波の春,,段染,木綿,bg3.png,TRUE,山,松,桜,川,,,,
,4,菊,初期,白,麻,bg4.png,FALSE,菊,,,,,,,
☆,5,松皮菱に松と梅,初期,段染,木綿,bg5.png,TRUE,松皮菱,雪,梅,,,,,
,6,水に梅,,藍,芭蕉布,bg6.png,FALSE,梅,,,,,,,
☆,7,生垣に牡丹,初期,白,木綿,bg7.png,TRUE,珊瑚礁,砂,牡丹,桜,紅葉,,,
,8,扇面,,藍,平絹,bg8.png,FALSE,扇面,桜,,,,,,
☆,9,松竹梅に亭,中期,水色,木綿,bg9.png,TRUE,珊瑚礁,浅瀬,松,竹,雪持笹,雪輪,梅,亭
,10,菖蒲に流水,,白地藍型,芭蕉布,bg10.png,FALSE,菖蒲,沢瀉,鳥,蛇籠,桜,小枝,流水,
☆,11,山に四季の花,中期,雲形段染,平絹,bg11.png,TRUE,雲,山,,,,,,
,12,牡丹に蝶,,黄,,bg12.png,FALSE,桐,桜,牡丹,蝶,,,,
,13,菊に短冊と扇面,,白,木綿,bg13.png,FALSE,菊,すすき,短冊,扇面,地紙,,,
☆,14,段染模様,,霞形段染模様,木綿,bg14.png,TRUE,浜千鳥,桜,,,,,,
,15,霞に桐、梅、松,,水色,木綿,bg15.png,FALSE,霞,桐,梅,竹,,,,
,16,梅と松、松葉繋ぎ,,白,,bg16.png,FALSE,松葉つなぎ,梅,,,,,,
,17,水に梅と紅葉,,桔梗色,,bg17.png,FALSE,波頭,梅,,,,,,
,18,山に流水,,浅黄,木綿,bg18.png,FALSE,山,波,舟,,,,流水,
,19,菖蒲に蝶と燕,,黄,,bg19.png,FALSE,菖蒲,蝶,燕,沢瀉,,,,
,20,菖蒲に蝶と燕,,黄,,bg20.png,FALSE,菖蒲,蝶,燕,沢瀉,,,,
☆,21,菊と牡丹紅に葉,,淡紅色,,bg21.png,TRUE,菊,牡丹,紅葉,,,,,
,22,松、桜に飛鶴,,白,平絹,bg22.png,FALSE,松,桜,鶴,,,,,
,23,菊に牡丹,,黄,木綿,bg23.png,TRUE,生垣,菊,築山,牡丹,梅,藤,銀杏,紅葉
☆,24,流水に飛鶴,,藍,麻,bg24.png,TRUE,鶴,梅,紅葉,渦,芦,水車,亀,流水
,25,朧小紋,,水色,木綿,bg25.png,FALSE,星,,,,,,,
☆,26,雪輪,,水色,木綿,bg26.png,TRUE,雪輪,松皮菱,菖蒲,牡丹,桜,,,
,27,丸紋菖蒲,,,絹,bg27.png,FALSE,雲形,菖蒲,,,,,,
,28,扇面に花、松皮菱繋ぎ,,,,bg28.png,FALSE,扇,椿,菊,,,,,
,29,蝶朧型,,桔梗色,木綿,bg29.png,FALSE,御嶽,蝶,,,,,,
☆,30,流水に梅と紅葉,,老米色,木綿,bg30.png,TRUE,杜,梅,紅葉,流水,,,,
,31,扇に風物,,白,,bg31.png,FALSE,扇,,,,,,,
,32,菊,,黄,平絹,bg32.png,FALSE,山　,菊,,,,,,
,33,流水に沢瀉と萱草,,白,木綿,bg33.png,FALSE,沢瀉,藻,流水,,,,,
☆,34,桜に紅葉,,水色,木綿,bg34.png,TRUE,紅葉,桜,,,,,,
,35,地紙に桜,,淡紅色,木綿,bg35.png,FALSE,桜,,,,,,,
,36,扇面に七宝繋ぎ,,黄,木綿,bg36.png,FALSE,扇,,,,,,,
,37,菊に雲形,,黄,木綿,bg37.png,FALSE,菊,雲,,,,,,
